"ProbeSet Name","HR_14.42l.CEL","p-value (HR_14.42l.CEL)","Detection (HR_14.42l.CEL)","HR_14.42f.CEL","p-value (HR_14.42f.CEL)","Detection (HR_14.42f.CEL)","HR_14.42g.CEL","p-value (HR_14.42g.CEL)","Detection (HR_14.42g.CEL)","HR_14.42h.CEL","p-value (HR_14.42h.CEL)","Detection (HR_14.42h.CEL)","HR_14.42i.CEL","p-value (HR_14.42i.CEL)","Detection (HR_14.42i.CEL)","HR_14.42j.CEL","p-value (HR_14.42j.CEL)","Detection (HR_14.42j.CEL)","HR_14.42k.CEL","p-value (HR_14.42k.CEL)","Detection (HR_14.42k.CEL)"
"kshv-miR-K12-2-star_st","1.339092","0.6872854","FALSE","1.363866","0.7368145","FALSE","1.558527","0.7405226","FALSE","1.461159","0.7210087","FALSE","2.094684","0.2235918","FALSE","1.483706","0.9242243","FALSE","1.412908","0.4457432","FALSE"
"kshv-miR-K12-9-star_st","2.366564","0.1704998","FALSE","2.391894","0.5574864","FALSE","2.354139","0.7133303","FALSE","1.997623","0.7663859","FALSE","2.491387","0.2888579","FALSE","2.410913","0.7916724","FALSE","3.008196","0.2182717","FALSE"
"kshv-miR-K12-9_st","1.424857","0.4689912","FALSE","1.679752","0.4973165","FALSE","1.84193","0.8426986","FALSE","1.885314","0.3829817","FALSE","1.122299","0.9888012","FALSE","1.155626","0.9999008","FALSE","1.176264","0.9055219","FALSE"
"kshv-miR-K12-8-star_st","3.289881","0.08813369","FALSE","2.123992","0.3928296","FALSE","2.60582","0.4773197","FALSE","2.820432","0.22761","FALSE","3.671157","0.08338484","FALSE","3.937155","0.1111296","FALSE","2.812696","0.246803","FALSE"
"kshv-miR-K12-8_st","1.336485","0.419098","FALSE","1.199591","0.7245777","FALSE","1.612015","0.8144232","FALSE","1.792652","0.2913729","FALSE","1.506649","0.4434949","FALSE","1.302696","0.996991","FALSE","1.358363","0.8744081","FALSE"
"kshv-miR-K12-7-star_st","2.649792","0.4712432","FALSE","3.171988","0.1883554","FALSE","3.364184","0.2779833","FALSE","2.799948","0.3216844","FALSE","3.474048","0.1882406","FALSE","2.302373","0.9502463","FALSE","4.319946","0.1046408","FALSE"
"kshv-miR-K12-7_st","1.977343","0.03634572","TRUE","1.719636","0.3058462","FALSE","1.935173","0.2073782","FALSE","1.62087","0.2802747","FALSE","1.506649","0.332056","FALSE","2.828865","0.100359","FALSE","1.65237","0.2800241","FALSE"
"kshv-miR-K12-6-5p_st","4.392432","0.00387842","TRUE","2.305429","0.4020953","FALSE","4.378963","0.000881397","TRUE","2.515563","0.2619019","FALSE","2.620071","0.3697634","FALSE","5.057867","0.000756097","TRUE","4.274951","0.000479607","TRUE"
"kshv-miR-K12-6-3p_st","1.173092","0.4328636","FALSE","1.666222","0.07206355","FALSE","1.651597","0.09079733","FALSE","1.392838","0.3573768","FALSE","1.386083","0.3066571","FALSE","0.9088911","0.9460273","FALSE","0.8618037","0.4218797","FALSE"
"kshv-miR-K12-5-star_st","1.246466","0.9632596","FALSE","1.45716","0.8357307","FALSE","1.569322","0.956998","FALSE","1.460821","0.9442618","FALSE","1.582383","0.9628811","FALSE","1.54983","0.9939095","FALSE","1.554845","0.9326264","FALSE"
"kshv-miR-K12-5_st","2.082576","0.2395519","FALSE","1.487825","0.741226","FALSE","1.452601","0.7644891","FALSE","1.422216","0.7777146","FALSE","1.274795","0.7251652","FALSE","2.117842","0.4930601","FALSE","1.832767","0.5106179","FALSE"
"kshv-miR-K12-4-5p_st","1.201342","0.6633295","FALSE","1.416923","0.3211292","FALSE","1.621581","0.1601644","FALSE","1.397972","0.4124411","FALSE","1.146245","0.4567673","FALSE","1.499339","0.5811588","FALSE","1.258191","0.3000034","FALSE"
"kshv-miR-K12-4-3p_st","1.33326","0.5542963","FALSE","1.351404","0.283085","FALSE","1.363167","0.5240987","FALSE","1.387818","0.2259164","FALSE","1.5628","0.1065201","FALSE","1.562568","0.3644287","FALSE","1.379959","0.0966064","FALSE"
"kshv-miR-K12-3_st","4.144302","0.000550671","TRUE","5.044127","5.66E-07","TRUE","4.681597","0.000108924","TRUE","5.199545","1.76E-06","TRUE","4.405113","0.02517936","TRUE","4.250003","0.03048638","TRUE","3.941501","0.000730806","TRUE"
